koordinatageometria_v0.1
1 25 -16 -25 7 0 155
1 25 136 -25 -98 0 78
1 20 25 20 -25 0 90
1 25 -10 -25 -10 0 0
1 25 -17 -25 24 0 320
1 10 -21 23 3 0 0
3 -2 3 0 0 20 0
1 25 -8 -25 74 0 -59
3 20 0 0 0 4 0
1 24 29 -25 -29 0 50
1 -2 23 13 10 0 0
3 -13 4 0 0 10 0
alakzatok vége
10.083610 12.527538
11.477306 14.177219
22.170623 -3.359821
-21.510973 -1.395672
-20.408792 10.817696
-2.000000 23.000000
13.107080 16.106340
-12.398667 -14.084137
17.164878 -2.719045
17.994001 3.489839
7.591429 20.550057
19.247064 -3.928497
22.879110 2.776819
20.785525 -1.088261
-3.234334 6.152154
-12.802499 13.998049
1.451416 2.309839
14.461599 -8.358511
-16.363058 16.917707
16.113676 -9.713214
-8.948276 -10.000000
13.198684 -10.000000
-17.198684 -10.000000
15.958333 -10.000000
16.463415 -10.000000
20.000000 24.265306
20.000000 4.000000
20.000000 -4.000000
20.000000 0.200000
20.000000 -2.538462
20.000000 -12.900000
20.000000 -10.000000
-3.032637 4.807260
-4.232977 -0.810334
0.408654 20.912500
-5.265001 -5.640205
2.215190 29.367089
0.812243 22.801295
-7.525949 -16.221443
-2.818182 5.810909
-6.196581 -10.000000
-5.113136 -2.147957
-22.800367 5.988169
-3.097840 -3.074994
12.841020 -10.406869
-21.837388 5.545199
15.160107 -11.473649
22.222222 -14.722222
11.956522 -10.000000
20.000000 -13.700000
-4.571984 -2.396887
